"1","Irving Park","Chop Suey","4307 W Irving Park Rd, Chicago, IL, 60641","Kid Friendly, Lunch ","Chinese","$$","****","773-681-9930","N/A"
"2","Irving Park","Chicago Pizza","4520 W Irving Park Rd, Chicao IL, 60641","Delivery & takeout","Italian","$$","*****","773-649-9771","www.chicagos-pizza.com"
"3","Irving Park","Thai Aree House","3592 N Milwaukee Ave Chicago, IL 60641","Casual Dining","Thai","$$","*****","(773) 725-6751","N/A"
"4","Irving Park","Afgan Kabob","4040 W Montrose Ave, Chicago, IL 60641","Dine-in and Delivery","Meditarannean","$$","****","(773) 427-5041","www.afghankabobchicago.com"
"5","Irving Park","Dharma Garden","3109 W Irving Park Rd, Chicago, IL 60618","Saafood, with pleni ","Thai","$","***","(773) 588-9140","www.seamless.com"
"6","Irving Park","Smoke BBQ","3800 N Pulaski Road Chicago, IL 60641","catreing,Bar scene, ","American",,"****","(773) 545-7427","http://www.smoquebbq.com/"
"12","Logan Square","Kuma corner","2900 W Belmont Ave, Chicago, IL 60618","Hopping pub, best bu","Grill","$$","*****","(773) 604-8769","www.kumascorner.com"
"13","Logan Square","Masa Azul","2901 W Diversey Ave, Chicago, IL 60647","Gourmet Tacos, Artis","Mexican","$$","*****","(773) 687-0300","www.masaazul.com"
"14","Logan Square","Belly Shack","1912 N Western Ave, Chicago, IL 60647","Asian-Nuevo Latino f","Asian","$$","****","(773) 252-1414","www.bellyshack.com"
"15","Logan Square","Scofflaw","3201 W Armitage Ave, Chicago, IL 60647","Gin-centric cocktail","American","$","*****","(773) 252-9700","www.scofflawchicago.com"
"16","Logan Square","Lula Cafe","2537 N Kedzie Ave, Chicago, IL 60647","brunch, restaurant+ ","Eclectic","$$","****","(773) 489-9554","lulacafe.com"
"17","Logan Square","Yusho","2853 N Kedzie Ave, Chicago, IL 60618","Yakitori -inspired","Japanese","$$","****","(773) 904-8558","yusho-chicago.com"
"26","Uptown","Inspiration Kitchens","4715 N Sheridan Rd Chicago, IL 60640","Breakfast and Brunch","American","$","**","(773) 275-0626","http://www.inspirationkitchens"
"27","Uptown","Ora","5143 N Clark St Chicago, IL 60640","BYOB, Sushi Bar","Japanese","$$","****","(773) 506-2978","http://www.ora-sushi.com/cgi-s"
"28","Uptown","Sun Wah Bar-B-Que","5041 N Broadway Chicago, IL 60640","Large Groups, Casual","Chinese","$$","***","773-769-1254","http://sunwahbbq.com/"
"29","Uptown","Carmela?s Taqueria","1206 W Lawrence Ave Chicago, IL 60640","Casual Dining.","Mexican","$","***","773) 275-5321","http://www.carmelastaqueria.co"
"30","Uptown","Demera Ethiopian Restaurant","4801 N Broadway St Chicago IL, 60640","Casual Dining.","Ethopian","$$","****","773-334-8787","http://www.demeraethiopian.com"
"31","Uptown","Shan Foods","5060 N Sheridan Rd Chicago IL, 60640","Casual Place","Indian","$$","****","773-769-4961","http://chicago.menupages.com/r"
"32","Uptown","Francesca's Bryn Mawr","1039 W Bryn Mawr Ave Chicago, IL 60660","Casual Dining.","Italian","$$","***","773-506-9261","http://miafrancesca.com/"
"39","Near North Side"," Bavette?s Bar & Boeuf","218 W Kinzie St, Chicago, IL 60654"," Steakhouses","French","$$$","****","312- 624-8154","http://bavetteschicago.com/"
"40","Near North Side","River Roast","315 N La Salle Dr ,Chicago, IL 60654","Traditional American","American","$$","****","312-822-0100","http://riverroastchicago.com"
"41","Near North Side"," Sunda","110 W Illinois St,Chicago, IL 60654","Asian Fusion, Sushi ","Japanese","$$$","****","312- 644-0500","http://sundachicago.com"
"42","Near North Side","Prosecco","710 N Wells St, Chicago, IL 60654","Casual Dining","Italian","$$$","****","312- 951-9500","http://prosecco.us.com"
"43","Near North Side","Celeste","111 W Hubbard St , Chicago, IL 60654","Cocktail Bars","American","$$","***","312- 828-9000","http://celestechicago.com"
"44","Near North Side","Roka Akor","456 N Clark St, Chicago, IL 60654","Sushi Bars, Seafood","Japanese","$$$","****","224- 541-0592","http://www.rokaakor.com"
"45","Near North Side","Mercadito","108 W Kinzie St , Chicago, IL 60654","Casual Dining","Mexican","$$$","***","312-329-9555","http://www.mercaditohospitalit"
"46","Near North Side","Yolk River North","747 N Wells , Chicago, IL 60654","Breakfast & Brunch,S","American","$$","****","312-787-2277","http://eatyolk.com"
"47","Edgewater","Nookies Edgewater","1100 W Bryn Mawr ,Chicago, IL 60660","Breakfast & Brunch,S","American","$$","****","773- 516-4188","http://nookiesrestaurants.net"
"48","Edgewater","Herb","5424 N Broadway St , Chicago, IL 60640","Casual Dining","Thai","$$$","*****","773- 944-9050","http://herbrestaurant.com"
"49","Edgewater","The Waterfront Cafe","6219 N Sheridan Rd  ,Chicago, IL 60660","Coffee & Tea, Sandwi","American","$$","****","773- 761-3294","http://waterfrontcafechicago.c"
"50","Edgewater","Francesca?s Bryn Mawr","1039 W Bryn Mawr Ave Chicago, IL 60660","Large Groups, Upscal","Italian","$$","****","773- 506-9261","http://miafrancesca.com"
"51","Edgewater","The Little India","1109 W Bryn Mawr Ave, Chicago, IL 60660","Casual Dining","Indian","$$","***","773- 728-7012","http://websitelittleindiaonlin"
"52","Edgewater"," Wing Hoe Restaurant","5356 N Sheridan Rd , Chicago, IL 60640","Casual Dining","Chinese","$$","***","773- 275-4550","http://winghoerestaurant.com"
"53","Edgewater","Mas Alla Del Sol","5848 N Broadway St ,Chicago, IL 60660","Large Groups, Upscal","Mexican","$$","*****","773-654-1900","http://masalladelsolrestaurant"
"62","Lincoln Park","Alinea","1723 N Halsted St, Chicago, IL 60614","Casual dinning","Modern American","$$$","****","(312) 867-0110","http://website.alinearestauran"
"63","Lincoln Park","Riccardo Trattoria","2119 N Clark Street Lincoln Park Chicago, IL 60614","Casual dinning","Italian","$$","***","(773) 549-0038","http://www.riccardotrattoria.c"
"64","Lincoln Park","Butcher & The Burger","1021 W Armitage Ave Chicago, IL 60614","Breakfast and Brunch","Burgers, Breakfast &","$$","****","(773) 697-3735","http://butcherandtheburger.com"
"65","Lincoln Park","Dawali Mediterranean Kitchen","1625 N Halsted St Chicago, IL","Large groups, Outdoo"," Mediterranean, Midd","$","****","(312) 944-5800","http://www.dawalikitchen.com/"
"66","Lincoln Park","Del Seoul","2568 N Clark St Chicago, IL 60614","Casual dinning","Korean, Asian","$","**","(773) 248-4227","http://www.delseoul.com/"
"67","Lincoln Park","Cafe Ba-Ba-Reeba","2024 N Halsted St Chicago, IL 60614","Casual dinning","Spanish","$$","***","(773) 935-5000","http://www.cafebabareeba.com/"
"68","Lincoln Park","Homeslice","938 W Webster Chicago, IL 60614","Pizzeria","Italian","$$","****","(312) 789-4600","http://getsomehomie.com/"
"69","Lake View"," BIG & little?s","Lakeview 1034 W Belmont Ave Chicago, IL 60657","Large groups, Outdoo","American","$","****","(773) 857-6677","http://www.bigandlittleschicag"
"70","Lake View","Zam Zam Middle Eastern Grill","3461 N Clark St Chicago, IL 60657 b/t Sheffield Av","Casual dinning","Middle Eastern, Ethn","$","****","(872) 802-3601","http://www.zam-zamgrill.com/"
"71","Lake View","Zia?s Lago Vista","3819 N Ashland Ave Chicago, IL 60657 Lakeview","Casual dinning","Italian Wine Bar","$$","****","(773) 883-0808","http://www.ziaslakeview.com/"
"72","Lake View","Wood","3335 N Halsted St Chicago, IL 60657","Bar scene, Large gro"," Bars, Tapas/Small P","$$$","****","(773) 935-9663","http://woodchicago.com/"
"73","Lake View","Rice?N Bread","3435 N Sheffield Ave Chicago, IL 60657","Casual dinning","American, Korean","$","****","(773) 281-4452","http://www.ricenbread.com/"
"74","Loop"," The Gage","The Loop 24 S Michigan Ave Chicago, IL 60603 ","Large groups, Outdoo","American","$$$","****","(312) 372-4243","http://www.thegagechicago.com/"
"75","Loop","Saucy Porka","400 S Financial Pl Chicago, IL 60605 ","Breakfast and Brunch"," Cafes, Breakfast & ","$","****","(312) 662-1351","http://saucyporka.com/"
"76","Loop","Frontera Fresco","111 N State St Chicago, IL 60602","Casual dinning","Mexican",,,"(312) 781-4483","http://www.fronterafresco.com/"
"77","Loop","Naf Naf Grill","326 N Michigan Ave Chicago, IL 60601 ","Large groups, Outdoo","Middle East","$","*****","(312) 263-0019","http://www.nafnafgrill.com/"
"78","Loop","Pierogi Heaven","169 N Wells St Chicago, IL 60606","Dining Casual, Speci","Polish","$","*****","(312) 263-9305","http://www.pierogiheaven.com/"
"91","Edison Park","Zia?s Trattoria","6699 N Northwest Hwy, Chicago, IL 60631",,"Italian","$$$","5","(773) 775-0808","http://ziaschicago.com/"
"92","Edison Park","The Curragh Irish Pub","6705 N Northwest Hwy Chicago, IL 60631","Fireplace,Live music","American","$$","4","(773) 774-6170","http://www.curraghirishpub.com"
"93","Edison Park"," Don Juan Restaurante","6730 N Northwest Hwy Chicago, IL 60631","Free Wi-fi, Takes Re","Mexican","$$","3","(773) 775-6438","http://www.donjuanschicago.com"
"94","Edison Park","Chopstick Express","7230 N Harlem Ave Chicago, IL 60631",,"chinese","$","3","(773) 763-3000","http://www.chopstickexpresschi"
"95","Edison Park"," Elliott?s Seafood Grille and ","6690 N Northwest Hwy Chicago, IL 60631","Accepts Credit Cards","Seafood,Steakhouse","$$$","4","(773) 775-5277","http://elliottsseafoodandsteak"
"96","Edison Park","Cafe Touche","6731 N Northwest Hwy Chicago, IL 60631","Take Reservations","French","$$","4","773.775.0909","http://cafetouche.com/"
"97","Edison Park","Nonno Pino","6718 N Northwest Hwy Chicago, IL 60631","Free Wi-fi, Accepts ","Italian","$","3","(773) 594-1155","http://nonnopinositaliankitche"
"98","Rogers Park","Loyola Bento Express","6803 N SHERIDAN RD Chicago IL 60626-3811",,,,,,
"99","Rogers Park","Heartland Caf","7000 N Glenwood Ave, Chicago, IL 60626","vegetarian","Vegetarian","$$","****","7734658005","www.heartlandcafe.com"
"100","Rogers Park","China Spring","7005 N Clark St, Chicago, IL?",,"Chinese","$$","***","7732628880","www.chinaspringchicago.com"
"101","Rogers Park","La Cazuela Restaurant","6922 N Clark St, Chicago, IL 60626",,"Mexican","$$","****","7733385425","la-cazuela.com"
"102","Rogers Park","Hana Restaurant","6803 N Sheridan Rd, Chicago, IL 60626",,"Japanese","$$","*****","7733388815","https://plus.google.com/113179"
"103","Rogers Park","Thai Spice","1320 W Devon Ave, Chicago, IL?",,"Thai","$$","*****","7739730504","https://plus.google.com/104825"
"104","Rogers Park","Luzzat","1505 W Jarvis Ave, Chicago, IL,60626",,"Indian","$","****","7737641065","https://plus.google.com/109492"
"105","Rogers Park","Uncommon Ground","1401 W Devon Ave, Chicago,IL 60660",,"American","$$","****","7734659801","www.uncommonground.com"
"106","Ohare","Wofgang pack","10000 West O'Hare Avenue, Chicago O'Hare Internati",,"American","$$","****","7706866180","www.wolfgangpuck.com"
